n_instancias,dimensiones,cohesion,mean_pairwise_distance,min_pairwise_distance,max_pairwise_distance,silhouette_global,linkage,metric,p,pca,poda,ARI_Train,NMI_Train,FMI_Train,Purity_Train,Hungarian_accuracy_Train,ARI_test,NMI_test,FMI_test,Purity_test,Hungarian_accuracy_test
900,600,5.965165415350042e-15,4.816073791743269,1.3363977096276554,11.301296410606517,0.9999999999999998,single,manhattan,1,600,4.6,-0.00044589903839091234,0.5869562087012962,0.0032002207888892145,0.6877380045696877,0.04265041888804265,0.002462091142160914,0.5324992778921173,0.01621770876615239,0.465962441314554,0.08450704225352113
900,450,3.8652478239204295e-15,4.808025226822753,1.3083329798837324,11.299684766831932,0.9999999999999999,single,manhattan,1,450,4,-0.00044589903839091234,0.5869562087012962,0.0032002207888892145,0.6877380045696877,0.04265041888804265,0.0025619012945138856,0.5320325291134581,0.0164217988331126,0.4647887323943662,0.08450704225352113
900,450,3.548309337114822e-15,4.808025939204857,1.3071001300296299,11.299557710117341,0.9999999999999999,single,manhattan,1,450,4.3,-0.00044589903839091234,0.5869562087012962,0.0032002207888892145,0.6877380045696877,0.04265041888804265,0.0025619012945138856,0.532032529113458,0.0164217988331126,0.4647887323943662,0.08450704225352113
900,450,3.909154903648106e-15,4.808006478305711,1.308544877790439,11.299485112475338,0.9999999999999999,single,manhattan,1,450,4.6,-0.00044589903839091234,0.5869562087012962,0.0032002207888892145,0.6877380045696877,0.04265041888804265,0.00259360775997388,0.5326727440603276,0.016463111599863255,0.465962441314554,0.08450704225352113
900,300,1.7746287105463418e-15,4.7812766303369125,1.2528672868961124,11.290014018486819,1.0,single,manhattan,1,300,4,-0.00044589903839091234,0.5869562087012962,0.0032002207888892145,0.6877380045696877,0.04265041888804265,0.0023358604672026302,0.5327020559079942,0.015979213049003092,0.4671361502347418,0.08450704225352113
900,300,1.693343002710096e-15,4.781314605101197,1.2545811000379223,11.289778260673412,1.0,single,manhattan,1,300,4.3,-0.00044589903839091234,0.5869562087012962,0.0032002207888892145,0.6877380045696877,0.04265041888804265,0.002325319692054966,0.5323904713786534,0.015965824514562667,0.465962441314554,0.08450704225352113
900,300,1.4994682252161731e-15,4.781291523989998,1.2526270172807699,11.289648727123351,1.0,single,manhattan,1,300,4.6,-0.00044589903839091234,0.5869562087012962,0.0032002207888892145,0.6877380045696877,0.04265041888804265,0.002362223103328541,0.5326454739176902,0.016012832301503858,0.465962441314554,0.08450704225352113
900,150,4.656725429646396e-16,4.680535913805425,1.147207269566557,11.229276734498548,1.0,single,manhattan,1,150,4,-0.00044589903839091234,0.5869562087012962,0.0032002207888892145,0.6877380045696877,0.04265041888804265,0.001840590571965624,0.5344204799380448,0.014863308610375537,0.4671361502347418,0.08215962441314555
900,150,4.253488054153777e-16,4.680561337337178,1.1461021134304161,11.224787797952237,1.0,single,manhattan,1,150,4.3,-0.00044589903839091234,0.5869562087012962,0.0032002207888892145,0.6877380045696877,0.04265041888804265,0.0016091116022697888,0.5326679711783835,0.014493287208136566,0.4636150234741784,0.08333333333333333
900,150,5.173011662162268e-16,4.680701661446575,1.1376354503854915,11.229742200717551,1.0,single,manhattan,1,150,4.6,-0.00044589903839091234,0.5869562087012962,0.0032002207888892145,0.6877380045696877,0.04265041888804265,0.0017256495677596285,0.5318455259961803,0.01481160703670306,0.465962441314554,0.08450704225352113
